backend,batch_spec,num_layers,kv_cache_dtype,mean_time,std_time,throughput,memory_mb
FLASH_ATTN,q256,6,auto,1.0785066460569698e-05,5.385493072488146e-07,23736525.030785702,0
FLASHINFER,q256,6,auto,2.2803200284639996e-05,1.209134502908828e-06,11226494.386949668,0
TRITON_ATTN,q256,6,auto,1.2649599959452944e-05,7.957748991126931e-07,20237794.1453155,0
FLASH_ATTN,q1k,6,auto,7.460479935010274e-05,1.1503073113522331e-06,13725658.522243446,0
FLASHINFER,q1k,6,auto,0.00010013013283411664,9.184642312153027e-07,10226691.716233294,0
TRITON_ATTN,q1k,6,auto,0.00010601280132929483,1.0746052565341058e-06,9659210.842087569,0
FLASH_ATTN,q4k,6,auto,0.0008130538622538248,1.954346107312105e-05,5037796.621057416,0
FLASHINFER,q4k,6,auto,0.000802344544728597,2.0298171004337905e-05,5105038.760356404,0
TRITON_ATTN,q4k,6,auto,0.0012759114583333333,2.0238254301652888e-05,3210254.107561996,0
FLASH_ATTN,q128s8k,6,auto,0.00022962986628214519,1.234690267394452e-06,557418.7803720923,0
FLASHINFER,q128s8k,6,auto,9.636160135269165e-05,1.1420381905699484e-06,1328329.938514711,0
TRITON_ATTN,q128s8k,6,auto,0.0002560927987098694,1.5770590517186203e-06,499818.8181972768,0
FLASH_ATTN,q256s8k,6,auto,0.00022977173328399655,5.874430616118385e-07,1114149.2312441473,0
FLASHINFER,q256s8k,6,auto,0.0001833077311515808,1.0738162151860187e-06,1396558.6633566944,0
TRITON_ATTN,q256s8k,6,auto,0.00040558187961578366,1.526911962504486e-05,631191.9069030259,0
FLASH_ATTN,q512s8k,6,auto,0.0004479210774103801,9.867681296833433e-07,1143058.5114683309,0
FLASHINFER,q512s8k,6,auto,0.00044341653188069663,1.5316448360633902e-05,1154670.5257659543,0
TRITON_ATTN,q512s8k,6,auto,0.0007070634524027506,1.5891475324299378e-05,724121.715328541,0
FLASH_ATTN,q1ks8k,6,auto,0.0008448437372843424,1.5880970039247845e-05,1212058.461001955,0
FLASHINFER,q1ks8k,6,auto,0.0008238314787546794,1.6417448851726043e-05,1242972.6544898471,0
TRITON_ATTN,q1ks8k,6,auto,0.001271826140085856,1.230624422044256e-05,805141.4951503306,0
FLASH_ATTN,q128s32k,6,auto,0.0009154368082682291,1.4258416110217307e-05,139823.96036941433,0
FLASHINFER,q128s32k,6,auto,0.00034143786430358887,8.809623252067526e-07,374885.19400469604,0
TRITON_ATTN,q128s32k,6,auto,0.001113536008199056,1.8226124405788e-05,114949.13416137925,0
FLASH_ATTN,q256s32k,6,auto,0.0009267626762390136,1.8871932799817907e-05,276230.373280567,0
FLASHINFER,q256s32k,6,auto,0.0006789535999298095,1.6789176403805095e-05,377050.802921533,0
TRITON_ATTN,q256s32k,6,auto,0.0016016362826029459,1.944377285269617e-05,159836.53890754408,0
FLASH_ATTN,q512s32k,6,auto,0.0018176373481750489,2.1823138025014508e-05,281684.35277480417,0
FLASHINFER,q512s32k,6,auto,0.0016797461509704588,1.8977161665012728e-05,304807.9614316702,0
TRITON_ATTN,q512s32k,6,auto,0.0028304489771525066,9.014244032226996e-07,180890.02986200555,0
FLASH_ATTN,q1ks32k,6,auto,0.003580054473876953,1.807031651196635e-05,286029.16728556884,0
FLASHINFER,q1ks32k,6,auto,0.0033118581771850583,1.2496399605414026e-05,309191.98383982654,0
TRITON_ATTN,q1ks32k,6,auto,0.005324415016174316,3.196992920445374e-05,192321.59718754637,0
FLASH_ATTN,q128s64k,6,auto,0.0018238837560017904,1.751753104311615e-05,70179.91118063028,0
FLASHINFER,q128s64k,6,auto,0.0006763861338297526,1.7391398944387626e-05,189241.0172208199,0
TRITON_ATTN,q128s64k,6,auto,0.002222268803914388,1.8431181390334844e-05,57598.79262784771,0
FLASH_ATTN,q256s64k,6,auto,0.0018432373046874998,2.2005702364793008e-05,138886.0779612975,0
FLASHINFER,q256s64k,6,auto,0.0013420042832692463,1.8696501123999937e-05,190759.4507644643,0
TRITON_ATTN,q256s64k,6,auto,0.003194215393066406,1.3242904219778655e-05,80144.87706611521,0
FLASH_ATTN,q512s64k,6,auto,0.0036445152282714847,3.582093049524216e-06,140485.0763218873,0
FLASHINFER,q512s64k,6,auto,0.0033375125885009766,3.883324033565449e-06,153407.66107191273,0
TRITON_ATTN,q512s64k,6,auto,0.005674317804972331,1.5224341919885007e-05,90231.1110511542,0
FLASH_ATTN,q1ks64k,6,auto,0.007224179204305013,2.203253344451498e-05,141746.2068756241,0
FLASHINFER,q1ks64k,6,auto,0.006622906621297201,1.7122725983412665e-05,154614.89321125796,0
TRITON_ATTN,q1ks64k,6,auto,0.010762809499104816,2.0732006921447123e-05,95142.44399523841,0
